Dataset,original_vertices,original_edges,vertices_removed,edges_removed,oct,bipartite,final_vertices,final_edges
aa41-cl-6,300,1603,143,0,18,29,139,856
aa41-cl-7,300,1545,161,0,18,20,121,786
aa41-cl-8,300,1590,158,0,24,27,118,591
aa41-cl-9,300,1554,157,0,18,29,125,742
aa41-er-0,300,1648,0,0,0,0,300,1648
aa41-er-1,300,1682,1,0,1,0,298,1668
aa41-er-10,300,1597,0,0,0,0,300,1597
aa41-er-11,300,1622,0,0,0,1,300,1622
aa41-er-12,300,1601,0,0,0,0,300,1601
aa41-er-13,300,1611,0,0,0,1,300,1611
aa41-er-14,300,1588,0,0,0,0,300,1588
aa41-er-2,300,1651,0,0,0,0,300,1651
aa41-er-3,300,1586,0,0,0,0,300,1586
aa41-er-4,300,1631,0,0,0,1,300,1631
aa41-er-5,300,1585,1,0,0,0,299,1584
aa41-er-6,300,1628,1,0,0,0,299,1627
aa41-er-7,300,1648,0,0,0,0,300,1648
aa41-er-8,300,1638,0,0,0,1,300,1638
aa41-er-9,300,1646,0,0,0,0,300,1646
aa41-to-0,300,1030,7,0,1,13,292,1013
aa41-to-1,300,1051,4,0,1,8,295,1034
aa41-to-10,300,991,4,0,0,21,296,987
aa41-to-11,300,1000,3,0,0,9,297,997
aa41-to-12,300,999,1,0,0,10,299,998
aa41-to-13,300,1001,6,0,0,8,294,997
aa41-to-14,300,993,4,0,0,7,296,990
aa41-to-2,300,1004,1,0,0,12,299,1003
aa41-to-3,300,1008,3,0,0,7,297,1005
aa41-to-4,300,1003,5,0,0,9,295,999
aa41-to-5,300,950,7,0,0,15,293,944
aa41-to-6,300,1032,6,0,0,10,294,1027
aa41-to-7,300,1041,5,0,1,11,294,1023
aa41-to-8,300,1029,3,0,1,10,296,1012
aa41-to-9,300,1039,2,0,0,13,298,1037
aa42-ba-0,237,1160,1,0,0,0,236,1159
aa42-ba-1,237,1160,0,0,0,0,237,1160
aa42-ba-10,237,1160,0,0,0,0,237,1160
aa42-ba-11,237,1160,0,0,0,0,237,1160
aa42-ba-12,237,1160,0,0,0,0,237,1160
aa42-ba-13,237,1160,0,0,0,0,237,1160
aa42-ba-14,237,1160,0,0,0,0,237,1160
aa42-ba-2,237,1160,0,0,0,0,237,1160
aa42-ba-3,237,1160,0,0,0,0,237,1160
aa42-ba-4,237,1160,0,0,0,0,237,1160
aa42-ba-5,237,1160,1,0,0,0,236,1159
aa42-ba-6,237,1160,0,0,0,0,237,1160
aa42-ba-7,237,1160,0,0,0,0,237,1160
aa42-ba-8,237,1160,0,0,0,0,237,1160
aa42-ba-9,237,1160,0,0,0,0,237,1160
aa42-cl-0,237,1084,98,0,10,30,129,672
aa42-cl-1,237,1095,118,0,17,17,102,467
aa42-cl-10,237,1094,110,0,14,20,113,563
aa42-cl-11,237,1104,93,0,6,22,138,788
aa42-cl-12,237,1067,106,0,12,22,119,651
aa42-cl-13,237,1104,94,0,12,28,131,646
aa42-cl-14,237,1078,91,0,12,30,134,604
aa42-cl-2,237,1176,98,0,15,26,124,586
aa42-cl-3,237,1092,80,0,10,31,147,686
aa42-cl-4,237,1124,80,0,7,27,150,824
aa42-cl-5,237,1092,102,0,11,19,124,639
aa42-cl-6,237,1095,77,0,6,27,154,824
aa42-cl-7,237,1029,94,0,10,25,133,664
aa42-cl-8,237,1094,102,0,14,27,123,545
aa42-cl-9,237,1080,108,0,16,18,113,486
aa42-er-0,237,1136,0,0,0,0,237,1136
aa42-er-1,237,1159,0,0,0,2,237,1159
aa42-er-10,237,1115,0,0,0,1,237,1115
aa42-er-11,237,1123,0,0,0,1,237,1123
aa42-er-12,237,1089,0,0,0,1,237,1089
aa42-er-13,237,1110,2,0,1,0,234,1098
aa42-er-14,237,1076,0,0,0,0,237,1076
aa42-er-2,237,1142,0,0,0,0,237,1142
aa42-er-3,237,1115,0,0,0,1,237,1115
aa42-er-4,237,1110,0,0,0,0,237,1110
aa42-er-5,237,1083,2,0,0,0,235,1081
aa42-er-6,237,1157,0,0,0,0,237,1157
aa42-er-7,237,1128,0,0,0,0,237,1128
aa42-er-8,237,1135,0,0,0,1,237,1135
aa42-er-9,237,1100,0,0,0,0,237,1100
aa42-to-0,237,709,8,0,1,14,228,693
aa42-to-1,237,697,8,0,0,8,229,691
aa42-to-10,237,697,3,0,0,16,234,695
aa42-to-11,237,680,9,0,1,21,227,660
aa42-to-12,237,648,5,0,0,13,232,645
aa42-to-13,237,703,4,0,0,14,233,699
aa42-to-14,237,681,7,0,0,15,230,675
aa42-to-2,237,708,5,0,0,17,232,704
aa42-to-3,237,657,7,0,0,23,230,652
aa42-to-4,237,680,3,0,0,14,234,678
aa42-to-5,237,687,7,0,1,17,229,672
aa42-to-6,237,739,7,0,1,6,229,718
aa42-to-7,237,689,3,0,0,14,234,686
aa42-to-8,237,698,8,0,0,9,229,691
aa42-to-9,237,684,5,0,0,18,232,679
aa43-ba-0,64,295,1,0,0,0,63,294
aa43-ba-1,64,295,0,0,0,0,64,295
aa43-ba-10,64,295,0,0,0,0,64,295
aa43-ba-11,64,295,0,0,0,0,64,295
aa43-ba-12,64,295,0,0,0,0,64,295
aa43-ba-13,64,295,0,0,2,0,62,239
aa43-ba-14,64,295,0,0,1,0,63,267
aa43-ba-2,64,295,1,0,0,0,63,294
aa43-ba-3,64,295,1,0,2,0,61,251
aa43-ba-4,64,295,0,0,1,0,63,270
aa43-ba-5,64,295,1,0,1,0,62,259
aa43-ba-6,64,295,0,0,1,0,63,263
aa43-ba-7,64,295,0,0,0,0,64,295
aa43-ba-8,64,295,0,0,0,0,64,295
aa43-ba-9,64,295,0,0,2,0,62,217
aa43-cl-0,64,290,15,0,2,6,47,241
aa43-cl-1,64,297,16,0,0,2,48,285
aa43-cl-10,64,315,14,0,3,4,47,238
aa43-cl-11,64,291,17,0,3,2,44,217
aa43-cl-12,64,299,14,0,2,2,48,245
aa43-cl-13,64,297,22,0,5,1,37,175
aa43-cl-14,64,295,16,0,0,2,48,289
aa43-cl-2,64,298,17,0,3,3,44,214
aa43-cl-3,64,299,18,0,4,2,42,205
aa43-cl-4,64,301,16,0,2,2,46,247
aa43-cl-5,64,272,22,0,7,3,35,122
aa43-cl-6,64,293,16,0,1,3,47,261
aa43-cl-7,64,295,14,0,2,3,48,238
aa43-cl-8,64,305,17,0,4,4,43,207
aa43-cl-9,64,278,17,0,2,3,45,223
aa43-er-0,64,312,0,0,0,1,64,312
aa43-er-1,64,305,0,0,0,0,64,305
aa43-er-10,64,290,1,0,0,0,63,289
aa43-er-11,64,299,0,0,0,0,64,299
aa43-er-12,64,297,0,0,0,0,64,297
aa43-er-13,64,299,0,0,0,0,64,299
aa43-er-14,64,327,0,0,0,1,64,327
aa43-er-2,64,294,0,0,0,0,64,294
aa43-er-3,64,294,0,0,0,0,64,294
aa43-er-4,64,290,0,0,0,0,64,290
aa43-er-5,64,338,0,0,0,0,64,338
aa43-er-6,64,329,0,0,0,0,64,329
aa43-er-7,64,338,0,0,0,0,64,338
aa43-er-8,64,315,0,0,0,0,64,315
aa43-er-9,64,316,0,0,0,0,64,316
aa43-to-0,64,229,1,0,0,2,63,228
aa43-to-1,64,216,0,0,0,5,64,216
aa43-to-10,64,216,2,0,1,1,61,207
aa43-to-11,64,216,0,0,0,5,64,216
aa43-to-12,64,232,2,0,0,1,62,231
aa43-to-13,64,236,0,0,0,1,64,236
aa43-to-14,64,260,0,0,0,1,64,260
aa43-to-2,64,221,1,0,1,2,62,208
aa43-to-3,64,225,0,0,0,1,64,225
aa43-to-4,64,221,0,0,0,1,64,221
aa43-to-5,64,258,0,0,0,1,64,258
aa43-to-6,64,264,1,0,1,0,62,254
aa43-to-7,64,241,1,0,0,1,63,240
aa43-to-8,64,237,0,0,0,0,64,237
aa43-to-9,64,247,0,0,0,2,64,247
aa44-ba-0,60,171,0,0,0,1,60,171
aa44-ba-1,60,171,0,0,1,3,59,153
aa44-ba-10,60,171,21,0,6,4,33,60
aa44-ba-11,60,171,5,0,3,9,52,114
aa44-ba-12,60,171,0,0,0,0,60,171
aa44-ba-13,60,171,0,0,0,0,60,171
aa44-ba-14,60,171,20,0,7,10,33,53
aa44-ba-2,60,171,4,0,2,7,54,132
aa44-ba-3,60,171,3,0,2,9,55,129
aa44-ba-4,60,171,0,0,0,0,60,171
aa44-ba-5,60,171,9,0,3,8,48,100
aa44-ba-6,60,171,7,0,5,11,48,98
aa44-ba-7,60,171,0,0,0,0,60,171
aa44-ba-8,60,171,6,0,3,11,51,104
aa44-ba-9,60,171,0,0,0,0,60,171
aa44-cl-0,60,158,19,0,2,6,39,120
aa44-cl-1,60,158,19,0,2,7,39,119
aa44-cl-10,60,165,18,0,3,8,39,106
aa44-cl-11,60,173,25,0,6,3,29,73
aa44-cl-12,60,168,17,0,2,6,41,122
aa44-cl-13,60,161,19,0,1,5,40,132
aa44-cl-14,60,159,13,0,1,8,46,140
aa44-cl-2,60,151,29,0,8,6,23,51
aa44-cl-3,60,168,20,0,4,4,36,111
aa44-cl-4,60,164,13,0,1,5,46,139
aa44-cl-5,60,157,19,0,0,8,41,142
aa44-cl-6,60,166,14,0,1,6,45,147
aa44-cl-7,60,153,16,0,1,6,43,131
aa44-cl-8,60,148,17,0,2,9,41,110
aa44-cl-9,60,152,14,0,0,8,46,142
aa44-er-0,60,183,1,0,1,1,58,173
aa44-er-1,60,164,1,0,0,2,59,164
aa44-er-10,60,165,2,0,0,1,58,163
aa44-er-11,60,159,0,0,0,3,60,159
aa44-er-12,60,145,3,0,0,3,57,143
aa44-er-13,60,145,3,0,0,4,57,142
aa44-er-14,60,153,5,0,2,4,53,129
aa44-er-2,60,149,3,0,0,3,57,146
aa44-er-3,60,159,1,0,1,3,58,150
aa44-er-4,60,149,0,0,0,4,60,149
aa44-er-5,60,184,0,0,0,4,60,184
aa44-er-6,60,179,1,0,0,2,59,179
aa44-er-7,60,179,1,0,1,1,58,171
aa44-er-8,60,152,3,0,2,5,55,137
aa44-er-9,60,186,0,0,0,0,60,186
aa44-to-0,60,115,9,0,1,8,50,99
aa44-to-1,60,103,17,0,3,7,40,74
aa44-to-10,60,105,14,0,0,9,46,92
aa44-to-11,60,114,5,0,0,10,55,110
aa44-to-12,60,94,20,0,1,6,39,75
aa44-to-13,60,98,15,0,0,10,46,85
aa44-to-14,60,95,18,0,0,9,43,83
aa44-to-2,60,102,10,0,0,8,50,95
aa44-to-3,60,111,6,0,0,6,54,106
aa44-to-4,60,108,11,0,1,11,48,92
aa44-to-5,60,119,14,0,1,8,45,97
aa44-to-6,60,114,14,0,2,6,44,91
aa44-to-7,60,121,12,0,1,3,47,107
aa44-to-8,60,89,22,0,1,12,37,62
aa44-to-9,60,122,9,0,0,7,51,113
aa45-ba-0,83,390,1,0,0,0,82,389
aa45-ba-1,83,390,0,0,0,0,83,390
aa45-ba-10,83,390,0,0,0,0,83,390
aa45-ba-11,83,390,0,0,1,0,82,358
aa45-ba-12,83,390,0,0,1,0,82,351
aa45-ba-13,83,390,0,0,0,0,83,390
aa45-ba-14,83,390,0,0,0,0,83,390
aa45-ba-2,83,390,1,0,0,0,82,389
aa45-ba-3,83,390,1,0,2,0,80,349
aa45-ba-4,83,390,0,0,0,0,83,390
aa45-ba-5,83,390,1,0,1,0,81,350
aa45-ba-6,83,390,0,0,1,0,82,354
aa45-ba-7,83,390,0,0,0,0,83,390
aa45-ba-8,83,390,0,0,0,0,83,390
aa45-ba-9,83,390,0,0,1,0,82,344
aa45-cl-0,83,328,29,0,3,5,51,257
aa45-cl-1,83,383,19,0,1,7,63,354
aa45-cl-10,83,375,21,0,2,7,60,327
aa45-cl-11,83,399,24,0,3,10,56,304
aa45-cl-12,83,378,29,0,7,4,47,224
aa45-cl-13,83,373,20,0,0,9,63,362
aa45-cl-14,83,357,28,0,8,8,47,192
aa45-cl-2,83,405,23,0,2,5,58,348
aa45-cl-3,83,377,20,0,1,8,62,356
aa45-cl-4,83,397,26,0,4,5,53,293
aa45-cl-5,83,382,23,0,4,9,56,299
aa45-cl-6,83,364,18,0,1,11,64,333
aa45-cl-7,83,378,30,0,3,5,50,301
aa45-cl-8,83,368,34,0,4,3,45,252
aa45-cl-9,83,355,22,0,4,8,57,268
aa45-er-0,83,399,0,0,0,0,83,399
aa45-er-1,83,395,0,0,0,0,83,395
aa45-er-10,83,356,0,0,0,0,83,356
aa45-er-11,83,382,0,0,0,0,83,382
aa45-er-12,83,376,0,0,0,0,83,376
aa45-er-13,83,380,0,0,0,0,83,380
aa45-er-14,83,380,0,0,0,1,83,380
aa45-er-2,83,373,0,0,0,0,83,373
aa45-er-3,83,372,0,0,0,0,83,372
aa45-er-4,83,395,0,0,0,0,83,395
aa45-er-5,83,375,0,0,0,0,83,375
aa45-er-6,83,394,0,0,0,0,83,394
aa45-er-7,83,404,0,0,0,0,83,404
aa45-er-8,83,353,1,0,0,0,82,352
aa45-er-9,83,408,0,0,0,0,83,408
aa45-to-0,83,289,1,0,0,2,82,288
aa45-to-1,83,278,0,0,0,4,83,278
aa45-to-10,83,269,2,0,0,1,81,267
aa45-to-11,83,264,2,0,1,3,80,252
aa45-to-12,83,261,1,0,1,5,81,254
aa45-to-13,83,275,1,0,0,3,82,274
aa45-to-14,83,276,0,0,0,3,83,276
aa45-to-2,83,271,1,0,1,3,81,259
aa45-to-3,83,263,2,0,0,6,81,263
aa45-to-4,83,288,0,0,0,0,83,288
aa45-to-5,83,276,2,0,0,4,81,274
aa45-to-6,83,290,2,0,1,4,80,276
aa45-to-7,83,280,1,0,0,2,82,279
aa45-to-8,83,260,1,0,0,2,82,259
aa45-to-9,83,298,2,0,1,2,80,290
aa46-ba-0,163,636,1,0,0,0,162,635
aa46-ba-1,163,636,0,0,0,0,163,636
aa46-ba-10,163,636,0,0,0,0,163,636
aa46-ba-11,163,636,0,0,0,0,163,636
aa46-ba-12,163,636,0,0,0,0,163,636
aa46-ba-13,163,636,0,0,0,0,163,636
aa46-ba-14,163,636,0,0,1,0,162,586
aa46-ba-2,163,636,0,0,0,1,163,636
aa46-ba-3,163,636,0,0,0,0,163,636
aa46-ba-4,163,636,0,0,0,0,163,636
aa46-ba-5,163,636,1,0,0,0,162,635
aa46-ba-6,163,636,0,0,1,0,162,583
aa46-ba-7,163,636,0,0,0,0,163,636
aa46-ba-8,163,636,0,0,0,0,163,636
aa46-ba-9,163,636,0,0,0,0,163,636
aa46-cl-0,163,514,57,0,5,22,101,373
aa46-cl-1,163,524,67,0,5,15,91,368
aa46-cl-10,163,556,66,0,6,16,91,377
aa46-cl-11,163,521,75,0,9,18,79,275
aa46-cl-12,163,535,55,0,5,24,103,385
aa46-cl-13,163,521,58,0,3,23,102,398
aa46-cl-14,163,538,81,0,10,13,72,280
aa46-cl-2,163,534,62,0,6,21,95,353
aa46-cl-3,163,513,84,0,11,13,68,231
aa46-cl-4,163,558,73,0,12,14,78,258
aa46-cl-5,163,489,79,0,9,15,75,245
aa46-cl-6,163,504,61,0,1,17,101,436
aa46-cl-7,163,495,60,0,1,21,102,431
aa46-cl-8,163,534,63,0,10,22,90,295
aa46-cl-9,163,521,64,0,4,15,95,389
aa46-er-0,163,563,2,0,0,3,161,561
aa46-er-1,163,557,2,0,0,3,161,555
aa46-er-10,163,517,0,0,0,5,163,517
aa46-er-11,163,550,1,0,0,2,162,549
aa46-er-12,163,508,1,0,0,9,162,507
aa46-er-13,163,521,0,0,0,5,163,521
aa46-er-14,163,507,2,0,0,2,161,505
aa46-er-2,163,533,1,0,0,7,162,533
aa46-er-3,163,523,2,0,0,4,161,521
aa46-er-4,163,518,3,0,1,11,159,507
aa46-er-5,163,513,4,0,0,7,159,509
aa46-er-6,163,568,1,0,0,1,162,567
aa46-er-7,163,530,3,0,0,2,160,527
aa46-er-8,163,528,2,0,0,8,161,526
aa46-er-9,163,568,0,0,0,1,163,568
aa46-to-0,163,336,27,0,1,16,135,307
aa46-to-1,163,348,17,0,0,17,146,334
aa46-to-10,163,285,33,0,0,29,130,260
aa46-to-11,163,321,19,0,0,29,144,307
aa46-to-12,163,297,26,0,0,25,137,275
aa46-to-13,163,289,25,0,0,26,138,264
aa46-to-14,163,284,37,1,0,29,126,251
aa46-to-2,163,329,21,0,0,24,142,312
aa46-to-3,163,301,22,0,0,28,141,286
aa46-to-4,163,309,30,0,0,21,133,283
aa46-to-5,163,306,30,0,1,28,132,276
aa46-to-6,163,337,22,0,0,17,142,321
aa46-to-7,163,312,25,0,0,22,138,289
aa46-to-8,163,305,32,0,0,26,132,280
aa46-to-9,163,347,14,0,0,18,149,334
aa47-ba-0,65,244,1,0,0,0,64,243
aa47-ba-1,65,244,0,0,1,0,64,221
aa47-ba-10,65,244,0,0,0,0,65,244
aa47-ba-11,65,244,0,0,0,0,65,244
aa47-ba-12,65,244,0,0,0,0,65,244
aa47-ba-13,65,244,0,0,2,2,63,196
aa47-ba-14,65,244,0,0,1,0,64,220
aa47-ba-2,65,244,1,0,0,0,64,243
aa47-ba-3,65,244,0,0,0,0,65,244
aa47-ba-4,65,244,0,0,0,0,65,244
aa47-ba-5,65,244,1,0,0,0,64,243
aa47-ba-6,65,244,1,0,1,0,63,218
aa47-ba-7,65,244,0,0,1,0,64,209
aa47-ba-8,65,244,0,0,0,1,65,244
aa47-ba-9,65,244,0,0,0,0,65,244
aa47-cl-0,65,205,26,0,4,4,35,133
aa47-cl-1,65,230,22,0,6,4,37,125
aa47-cl-10,65,195,25,0,2,3,38,152
aa47-cl-11,65,228,30,0,6,0,29,119
aa47-cl-12,65,219,29,0,5,2,31,118
aa47-cl-13,65,201,26,0,3,5,36,137
aa47-cl-14,65,227,24,0,2,0,39,167
aa47-cl-2,65,210,24,0,2,3,39,158
aa47-cl-3,65,230,22,0,4,7,39,142
aa47-cl-4,65,235,18,0,3,5,44,179
aa47-cl-5,65,236,17,0,1,6,47,208
aa47-cl-6,65,205,25,0,2,3,38,160
aa47-cl-7,65,233,17,0,0,5,48,226
aa47-cl-8,65,246,19,0,2,7,45,201
aa47-cl-9,65,221,25,0,5,3,35,123
aa47-er-0,65,243,0,0,0,4,65,243
aa47-er-1,65,227,2,0,2,2,61,205
aa47-er-10,65,229,0,0,0,2,65,229
aa47-er-11,65,221,1,0,0,1,64,220
aa47-er-12,65,218,1,0,0,2,64,217
aa47-er-13,65,215,0,0,0,2,65,215
aa47-er-14,65,238,0,0,0,3,65,238
aa47-er-2,65,215,0,0,0,1,65,215
aa47-er-3,65,223,1,0,1,1,63,211
aa47-er-4,65,217,1,0,0,2,64,216
aa47-er-5,65,248,1,0,1,2,63,236
aa47-er-6,65,244,0,0,0,1,65,244
aa47-er-7,65,249,0,0,0,1,65,249
aa47-er-8,65,217,1,0,0,2,64,216
aa47-er-9,65,254,0,0,0,0,65,254
aa47-to-0,65,178,3,0,0,7,62,176
aa47-to-1,65,162,5,0,1,7,59,149
aa47-to-10,65,157,6,0,0,9,59,151
aa47-to-11,65,153,9,0,2,1,54,130
aa47-to-12,65,143,6,0,0,5,59,138
aa47-to-13,65,155,6,0,1,7,58,143
aa47-to-14,65,171,5,0,0,4,60,166
aa47-to-2,65,155,5,0,1,6,59,143
aa47-to-3,65,160,11,0,0,2,54,149
aa47-to-4,65,158,11,0,1,4,53,136
aa47-to-5,65,167,4,0,0,4,61,164
aa47-to-6,65,177,3,0,0,7,62,174
aa47-to-7,65,176,2,0,1,9,62,164
aa47-to-8,65,146,7,0,0,0,58,140
aa47-to-9,65,179,1,0,0,7,64,178
aa48-ba-0,90,344,1,0,0,0,89,343
aa48-ba-1,90,344,0,0,1,0,89,319
aa48-ba-10,90,344,0,0,0,0,90,344
aa48-ba-11,90,344,0,0,0,0,90,344
aa48-ba-12,90,344,0,0,0,0,90,344
aa48-ba-13,90,344,0,0,1,0,89,311
aa48-ba-14,90,344,0,0,0,0,90,344
aa48-ba-2,90,344,1,0,0,0,89,343
aa48-ba-3,90,344,0,0,0,0,90,344
aa48-ba-4,90,344,0,0,0,0,90,344
aa48-ba-5,90,344,1,0,1,0,88,321
aa48-ba-6,90,344,0,0,1,0,89,309
aa48-ba-7,90,344,0,0,0,0,90,344
aa48-ba-8,90,344,0,0,0,0,90,344
aa48-ba-9,90,344,0,0,0,0,90,344
aa48-cl-0,90,303,48,0,10,4,32,98
aa48-cl-1,90,348,32,0,7,6,51,187
aa48-cl-10,90,331,28,0,3,10,59,259
aa48-cl-11,90,342,22,0,1,11,67,311
aa48-cl-12,90,343,38,0,8,7,44,164
aa48-cl-13,90,314,36,0,4,8,50,210
aa48-cl-14,90,314,36,0,3,6,51,229
aa48-cl-2,90,330,28,0,4,7,58,247
aa48-cl-3,90,338,28,0,1,8,61,304
aa48-cl-4,90,342,36,0,7,4,47,184
aa48-cl-5,90,344,37,0,9,7,44,165
aa48-cl-6,90,313,41,0,6,4,43,180
aa48-cl-7,90,315,32,0,3,9,55,223
aa48-cl-8,90,362,39,0,7,4,44,192
aa48-cl-9,90,322,33,0,4,9,53,239
aa48-er-0,90,360,1,0,0,0,89,359
aa48-er-1,90,363,0,0,0,1,90,363
aa48-er-10,90,332,1,0,0,0,89,331
aa48-er-11,90,359,0,0,0,0,90,359
aa48-er-12,90,330,3,0,0,1,87,327
aa48-er-13,90,336,1,0,1,0,88,324
aa48-er-14,90,331,0,0,0,2,90,331
aa48-er-2,90,329,0,0,0,1,90,329
aa48-er-3,90,332,0,0,0,2,90,332
aa48-er-4,90,340,0,0,0,1,90,340
aa48-er-5,90,331,1,0,0,0,89,331
aa48-er-6,90,352,0,0,0,0,90,352
aa48-er-7,90,347,1,0,0,0,89,346
aa48-er-8,90,326,0,0,0,1,90,326
aa48-er-9,90,379,0,0,0,1,90,379
aa48-to-0,90,261,3,0,0,6,87,259
aa48-to-1,90,240,3,0,1,6,86,232
aa48-to-10,90,236,10,0,0,4,80,226
aa48-to-11,90,248,3,0,0,6,87,245
aa48-to-12,90,212,5,0,0,7,85,207
aa48-to-13,90,231,3,0,0,6,87,229
aa48-to-14,90,233,2,0,0,12,88,231
aa48-to-2,90,203,7,0,0,14,83,199
aa48-to-3,90,221,7,0,0,4,83,214
aa48-to-4,90,221,6,0,0,6,85,216
aa48-to-5,90,238,2,0,0,6,88,237
aa48-to-6,90,241,3,0,0,5,87,239
aa48-to-7,90,229,6,0,1,9,83,217
aa48-to-8,90,195,13,0,2,7,75,168
aa48-to-9,90,263,5,0,1,5,84,250
aa49-ba-0,27,72,0,0,0,1,27,72
aa49-ba-1,27,72,0,0,0,1,27,72
aa49-ba-10,27,72,9,0,4,4,14,20
aa49-ba-11,27,72,0,0,0,0,27,72
aa49-ba-12,27,72,1,0,2,5,24,47
aa49-ba-13,27,72,0,0,0,0,27,72
aa49-ba-14,27,72,22,0,5,0,0,0
aa49-ba-2,27,72,0,0,0,0,27,72
aa49-ba-3,27,72,6,0,3,6,18,34
aa49-ba-4,27,72,0,0,0,0,27,72
aa49-ba-5,27,72,21,0,6,0,0,0
aa49-ba-6,27,72,9,0,5,4,13,22
aa49-ba-7,27,72,0,0,0,0,27,72
aa49-ba-8,27,72,24,0,4,0,0,0
aa49-ba-9,27,72,21,0,6,0,0,0
aa49-cl-0,27,62,22,0,6,0,0,0
aa49-cl-1,27,50,22,0,5,0,0,0
aa49-cl-10,27,49,11,0,1,1,15,36
aa49-cl-11,27,52,21,0,6,0,0,0
aa49-cl-12,27,59,12,0,2,1,13,31
aa49-cl-13,27,62,22,0,5,0,0,0
aa49-cl-14,27,57,22,0,5,0,0,0
aa49-cl-2,27,63,21,0,6,0,0,0
aa49-cl-3,27,57,21,0,6,0,0,0
aa49-cl-4,27,51,12,0,3,3,12,20
aa49-cl-5,27,57,9,0,2,2,16,34
aa49-cl-6,27,56,21,0,6,0,0,0
aa49-cl-7,27,54,22,0,5,0,0,0
aa49-cl-8,27,60,21,0,6,0,0,0
aa49-cl-9,27,58,14,0,4,1,9,18
aa49-er-0,27,54,4,0,0,3,23,50
aa49-er-1,27,66,0,0,0,3,27,66
aa49-er-10,27,64,1,0,0,0,26,63
aa49-er-11,27,58,5,0,3,5,19,34
aa49-er-12,27,56,2,0,0,4,25,54
aa49-er-13,27,67,0,0,0,1,27,67
aa49-er-14,27,60,3,0,1,1,23,53
aa49-er-2,27,62,1,0,0,2,26,61
aa49-er-3,27,59,5,0,2,3,20,44
aa49-er-4,27,66,1,0,0,1,26,65
aa49-er-5,27,59,0,0,0,1,27,59
aa49-er-6,27,71,2,0,1,2,24,62
aa49-er-7,27,75,2,0,0,1,25,74
aa49-er-8,27,58,2,0,0,0,25,56
aa49-er-9,27,78,0,0,0,1,27,78
aa49-to-0,27,34,26,0,1,0,0,0
aa49-to-1,27,41,9,0,1,6,17,29
aa49-to-10,27,43,7,0,0,5,20,38
aa49-to-11,27,42,14,0,2,2,11,18
aa49-to-12,27,44,8,0,1,3,18,30
aa49-to-13,27,44,4,0,0,7,23,40
aa49-to-14,27,43,6,0,0,5,21,39
aa49-to-2,27,44,23,0,4,0,0,0
aa49-to-3,27,39,11,0,0,3,16,28
aa49-to-4,27,42,24,0,4,0,0,0
aa49-to-5,27,42,24,0,3,0,0,0
aa49-to-6,27,47,3,0,0,4,24,45
aa49-to-7,27,53,4,0,0,5,23,50
aa49-to-8,27,41,10,0,2,5,15,23
aa49-to-9,27,59,3,0,0,1,24,57
aa50-ba-0,113,540,1,0,0,0,112,539
aa50-ba-1,113,540,0,0,0,0,113,540
aa50-ba-10,113,540,0,0,0,0,113,540
aa50-ba-11,113,540,0,0,0,0,113,540
aa50-ba-12,113,540,0,0,0,0,113,540
aa50-ba-13,113,540,0,0,0,0,113,540
aa50-ba-14,113,540,0,0,0,0,113,540
aa50-ba-2,113,540,0,0,0,1,113,540
aa50-ba-3,113,540,1,0,1,0,111,505
aa50-ba-4,113,540,0,0,0,0,113,540
aa50-ba-5,113,540,1,0,0,0,112,539
aa50-ba-6,113,540,0,0,0,0,113,540
aa50-ba-7,113,540,0,0,0,0,113,540
aa50-ba-8,113,540,0,0,0,0,113,540
aa50-ba-9,113,540,0,0,1,0,112,485
aa50-cl-0,113,435,36,0,5,12,73,284
aa50-cl-1,113,484,37,0,6,6,70,314
aa50-cl-10,113,455,34,0,3,8,76,354
aa50-cl-11,113,478,35,0,4,8,74,387
aa50-cl-12,113,452,29,0,6,12,78,300
aa50-cl-13,113,454,38,0,7,12,69,282
aa50-cl-14,113,456,37,0,7,6,69,339
aa50-cl-2,113,460,37,0,7,11,69,261
aa50-cl-3,113,498,30,0,3,10,80,406
aa50-cl-4,113,447,44,0,9,8,60,238
aa50-cl-5,113,424,31,0,0,12,82,406
aa50-cl-6,113,464,30,0,5,7,78,364
aa50-cl-7,113,449,33,0,6,13,74,287
aa50-cl-8,113,468,42,0,11,12,60,208
aa50-cl-9,113,463,32,0,2,8,79,404
aa50-er-0,113,484,0,0,0,1,113,484
aa50-er-1,113,483,0,0,0,1,113,483
aa50-er-10,113,450,1,0,0,0,112,449
aa50-er-11,113,475,0,0,0,0,113,475
aa50-er-12,113,446,2,0,1,1,110,436
aa50-er-13,113,475,0,0,0,0,113,475
aa50-er-14,113,439,0,0,0,2,113,439
aa50-er-2,113,468,1,0,0,0,112,467
aa50-er-3,113,448,0,0,0,1,113,448
aa50-er-4,113,463,1,0,0,1,112,462
aa50-er-5,113,458,2,0,0,0,111,456
aa50-er-6,113,489,0,0,0,0,113,489
aa50-er-7,113,472,0,0,0,0,113,472
aa50-er-8,113,454,2,0,1,0,110,445
aa50-er-9,113,525,0,0,0,1,113,525
aa50-to-0,113,306,5,0,0,13,108,302
aa50-to-1,113,333,0,0,0,6,113,333
aa50-to-10,113,296,5,0,0,11,108,292
aa50-to-11,113,299,5,0,0,5,108,294
aa50-to-12,113,300,6,0,1,9,106,291
